project,date,commit_hash,files,errors
4am-robotics_cob_common,2012-01-18,05eabef462a5cdc3d3c78bdfb8590b605b0bcc8b,4,4
4am-robotics_cob_common,2012-02-23,969c5f9eebd1e95a5f4bd7db6e5da05a4b46285b,4,4
4am-robotics_cob_common,2012-03-26,c54b7f40f4f2f00835588c91454611ce87f9b192,4,4
4am-robotics_cob_common,2012-05-02,a0e26a08576e846c20457c605d25a83f938e83f0,4,4
4am-robotics_cob_common,2012-06-06,c351f5a4759147d3b904e2cabd77d2bf377739e7,4,4
4am-robotics_cob_common,2012-07-06,39e4c5b062291fc26cce6b09fd8c25fce49cdd91,4,4
4am-robotics_cob_common,2012-08-14,20fbc3067c5d350fa9a0bd4da79d207484d8bade,4,4
4am-robotics_cob_common,2012-09-24,75e70d2560c3407b828c7608770a544fa578df44,4,4
4am-robotics_cob_common,2012-11-06,64ab1e41fae602f4a6515468263c53f653d9af93,4,4
4am-robotics_cob_common,2012-12-14,c3546a223f584ac7868c0c122c3425e67af3b520,4,4
4am-robotics_cob_common,2013-01-15,d98080bbce54a7a74248535cb8c2b769d15d7b3a,4,4
4am-robotics_cob_common,2013-03-13,517341c40643ef18302e98bfcdd6e5e4d0d0d6e8,4,4
4am-robotics_cob_common,2013-04-19,26897bd37e94f973997cb205a230a599ce72bc53,4,4
4am-robotics_cob_common,2013-05-22,c69cee9f5cc6dbe409965110dc83a14eb4c8d0e0,4,4
4am-robotics_cob_common,2013-06-24,80f525a19dfa01dbc70c304cd6dfabc69f5365a5,4,4
4am-robotics_cob_common,2013-07-30,2460bc6dbd570185a59ffb78833f4fcaf505286a,2,2
4am-robotics_cob_common,2013-08-30,f7bd0b08ef8c2276ccd83f7800415356b2ffbbb9,4,4
4am-robotics_cob_common,2013-10-01,044e346c4617378cef268d684207f0479e22e955,4,4
4am-robotics_cob_common,2013-10-31,008083eb0f10b41a93636b33286069a72b39807d,2,2
4am-robotics_cob_common,2013-12-05,8009c9b19a87bdade190bee03bb9ad13ba6ccdef,4,4
4am-robotics_cob_common,2014-01-15,e4834d6afcc62093acbf63ee3088c52403afd063,2,2
4am-robotics_cob_common,2014-02-14,735fa3e7a794faf2e6d07a392fe72eb08f509526,4,4
4am-robotics_cob_common,2014-03-17,722920d0ec92d98d0a703761fa990a2f308136b9,2,2
4am-robotics_cob_common,2014-04-23,bbb7aae73a51d625f1e4f89b464dd5906ff499f1,1,1
4am-robotics_cob_common,2014-05-28,74a632d9df807383c4c50664c642844140960ae0,1,1
4am-robotics_cob_common,2014-07-01,6627ff2c1f9a28eccbbdde995a28cbd86dee8543,1,1
4am-robotics_cob_common,2014-08-01,9ccd8360f346c7068199031532c80be38b245ea8,1,1
4am-robotics_cob_common,2014-09-02,9be0d6a37cf9ef8827ee18ab471f692a77c0a46d,1,1
4am-robotics_cob_common,2014-10-08,6eb003717531380f44a641e93c2875ea608af187,1,1
4am-robotics_cob_common,2014-11-13,efef973882876790c3e38d6ae54e0f7fc68c1b40,1,1
4am-robotics_cob_common,2014-12-15,b68eae80e60a2e861694a6babd0bae90149775e9,1,1
4am-robotics_cob_common,2015-01-17,8655c68836a91a94350c38f3e13ac3fe32539dfc,1,1
4am-robotics_cob_common,2015-02-27,e14d550c1806b1b6001f9f7d1e73b5504d39fba1,1,1
4am-robotics_cob_common,2015-03-30,5fa379c297cc7470c230ce4bd6ddaf9d9caaedc0,1,1
4am-robotics_cob_common,2015-04-29,d6f5b04633edce012b1441458b2e9923e0c595dd,1,1
4am-robotics_cob_common,2015-05-29,fb38a94de73c154ff20737090a7b5c69a1c5dd6c,1,1
4am-robotics_cob_common,2015-08-01,c3544f985cdca4400f1e791070b1a0fb937bf0b8,1,1
4am-robotics_cob_common,2015-09-04,c7f5083d834eb337a7048c10d99a9314839948b9,1,1
4am-robotics_cob_common,2015-10-16,ccf213fa71080000f30fbbb43a2434ed9e99ef0b,1,1
4am-robotics_cob_common,2015-11-16,c568f4b75986d4065bee2b65ec9631a8fc1b5139,1,1
4am-robotics_cob_common,2016-01-21,124ecbe9043fe1c76751fd326e02972eb26a715c,1,1
4am-robotics_cob_common,2016-04-01,198d39a0c9e005d4cb828c26d85eade970563a6b,1,1
4am-robotics_cob_common,2016-05-10,ee5b5011e1a79d067163ffe2823c3b496823495d,1,1
4am-robotics_cob_common,2016-06-21,abe52fec8e4383f3ac1fb651aa06e576afe8dfc3,1,1
4am-robotics_cob_common,2016-07-25,31e4f3044e6ad8a9b47f6e1cf130eb85b74b878b,1,1
